"Titre","Auteur","Prenom","Nom","Date_creation","Dates_naissance_deces_artiste","Lieu_naissance","Date_naissance","Lieu_deces","Date_deces","Domaine","id_domaine","Technique","Dimensions","Dimensions_split_1","DimX","DimY","DimZ","Annee_acquisition","Type_acquisition","Type_acquisition_copy","Précisions_acquisition","No_inventaire","Lien_Navigart"
"Tête de jeune homme, énergique et glabre, les muscles très bandés, vu de face","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain et craie sur papier","26 x 21,5 cm","26 x 21,5 ","26 "," 21,5 ","","0","Inconnu","0","Acquisition","5812","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007551"
"Groupe de l'homme qui soutient une femme, Brutus à droite","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume sur papier","19 x 26,5 cm","19 x 26,5 ","19 "," 26,5 ","","0","Inconnu","0","Acquisition","5123","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068262"
"Apparition de Notre Seigneur à Sainte Marguerite Marie. Il tient son coeur dans sa main","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","26,5 x 15,2 cm","26,5 x 15,2 ","26,5 "," 15,2 ","","0","Inconnu","0","Acquisition","5223","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068436"
"David, de face,  jambes écartées, tient un bâton sur l'épaule gauche","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","crayon noir et blanc et mine de plomb","37 x 22 cm","37 x 22 ","37 "," 22 ","","0","Inconnu","0","Acquisition","1407","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007021"
"Jeune homme couronné vêtu d'une tunique","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","29,8 x 14 cm","29,8 x 14 ","29,8 "," 14 ","","0","Inconnu","0","Acquisition","5632","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069520"
"Arbres en fleurs","Victor Julien RICHARD","Victor Julien","RICHARD","s.d.","Les Sables-d'Olonne (Vendée), 1848 - ?, 1916","Les Sables-d'Olonne (Vendée)"," 1848 "," ?"," 1916","Peinture","2","Huile sur bois","43,1 x 30,3 cm","43,1 x 30,3 ","43,1 "," 30,3 ","","1981","Achat","3","Achat Mme Libaudière, Nantes en 1981","981.21.1.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003242"
"Tête d'enfant","Victor Julien RICHARD","Victor Julien","RICHARD","s.d.","Les Sables-d'Olonne (Vendée), 1848 - ?, 1916","Les Sables-d'Olonne (Vendée)"," 1848 "," ?"," 1916","Peinture","2","Huile sur toile","24,1 x 18,6 x 0,9 cm","24,1 x 18,6 x 0,9 ","24,1 "," 18,6 "," 0,9 ","1913","Achat","3","Achat à l'artiste en 1913","1943","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003232"
"Les Résignés","Madeleine CARPENTIER","Madeleine","CARPENTIER","1910","Paris (France), 1865 - ?, 1940","Paris (France)"," 1865 "," ?"," 1940","Peinture","2","Sur une route entre deux collines, s'avance, se dirigeant de la gauche vers la droite, un triste cortège où l'on distingue notamment des religieuses, une soeur de Saint-Vincent-de-Paul soutenant une jeune fille malade, un vieillard courbé en deux tenant un panier et un chapeau à la main, une veuve, deux mères portant leurs enfants, l'une accompagnée d'un petit garçon, un aveugle se guidant avec son bâton, un vieillard tête nue jouant du flageolet, une femme portant un sac sur le dos, etc. Fond vallonné de montagnes bleues, ciel rayé de bandes horizontales alternativement bleues et jaunes.Huile sur toile","216 x 321.7 x 3.8 cm","216 x 321.7 x 3.8 ","216 "," 321.7 "," 3.8 ","1910","Dépôt","2","Achat en salon à l'artiste en 1910Fonds national d'art contemporainDépôt au Musée des Beaux-Arts de Nantes en 1910","2978 [n° inv. déposant ou prêteur]","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001445"
"La Folie Saint-James à Neuilly-sur-Seine","Louis BELANGER","Louis","BELANGER","s.d.","Paris (France), 1786 - Stockholm (Suède), 1816","Paris (France)"," 1786 "," Stockholm (Suède)"," 1816","Dessin","3","Aquarelle","33 x 52 cm","33 x 52 ","33 "," 52 ","","2004","Don","1","Don de Le Donné en 2004","04.13.9.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006735"
"Tête d'homme","René PINARD","René","PINARD","1903","Nantes (Loire-Atlantique), 1883 - Paris (France), 1938","Nantes (Loire-Atlantique)"," 1883 "," Paris (France)"," 1938","Dessin","3","Mine graphite, encre noire, rehauts de craie blanche sur papier","24,7 x 16,1 cm","24,7 x 16,1 ","24,7 "," 16,1 ","","1938","Don","1","Don de l'artiste en 1938","3339","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003108"
"Jeune homme revêtu d'une tunique","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain et craie sur papier calque","49,7 x 31 cm","49,7 x 31 ","49,7 "," 31 ","","0","Inconnu","0","Acquisition","5625","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069513"
"Le Christ couronné d'épines","XVIIe ITALIE,","XVIIe","ITALIE","XVIIe siècle","?, ? - ?, ?","?"," ? "," ?"," ?","Peinture","2","Huile sur bois","43 x 34 cm","43 x 34 ","43 "," 34 ","","1810","Inconnu","0","Acquisition M. François Cacault en 1810","228","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004638"
"Paysage","Barend Cornelis KOEKKOEK","Barend Cornelis","KOEKKOEK","avant 1852","Middelbourg (Pays-Bas), 1803 - Clèves (Pays-Bas), 1862","Middelbourg (Pays-Bas)"," 1803 "," Clèves (Pays-Bas)"," 1862","Peinture","2","Sur une petite rivière gelée, des patineurs, une femme assise dans un traîneau, etc ; au centre, futaies ; à droite, massif d'arbres ; à gauche, une chaumière. Effet de neige.Huile sur bois","38.5 x 51.4 x 0.7 cm","38.5 x 51.4 x 0.7 ","38.5 "," 51.4 "," 0.7 ","1852","Don","1","Don de M. Clarke de Feltre en 1852","1043","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004211"
"Deux têtes de paysannes, de profil l'une, l'autre de 3/4 tête baissée","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","18,7 x 22,6 cm","18,7 x 22,6 ","18,7 "," 22,6 ","","0","Inconnu","0","Acquisition","5759","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007499"
"Portrait du Peintre Chaumont","Joseph DEBAY PÈRE ","Joseph DEBAY","PÈRE","s.d.","Malines (Belgique), 1779 - Paris (France), 1863","Malines (Belgique)"," 1779 "," Paris (France)"," 1863","Sculpture","1","BusteTerre cuite","59 x 60 x 40 cm","59 x 60 x 40 ","59 "," 60 "," 40 ","1833","Don","1","Don de M. Bédert en 1833","1772","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005230"
"Trois Amours","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","19,2 x 27,3 cm","19,2 x 27,3 ","19,2 "," 27,3 ","","0","Inconnu","0","Acquisition","4939","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068021"
"Conversion d'Esther","Achille Jacques Jean DEVERIA","Achille Jacques Jean","DEVERIA","s.d.","Paris (France), 1800 - Paris (France), 1857","Paris (France)"," 1800 "," Paris (France)"," 1857","Estampe","4","Lithographie","42 x 59 cm","42 x 59 ","42 "," 59 ","","0","Dépôt","2","AcquisitionEtatDépôt au Musée des Beaux-Arts de Nantes en 1876","3190 [n° d'entrée]","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005717"
"Etude de tête de femme","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain et un peu de craie nimbé de sanguine","30 x 24,6 cm","30 x 24,6 ","30 "," 24,6 ","","0","Inconnu","0","Acquisition","4200","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065119"
"Portrait de femme","Jean-François SABLET","Jean-François","SABLET","XVIIIe siècle","Morges (Suisse), 1745 - Nantes (Loire-Atlantique), 1819","Morges (Suisse)"," 1745 "," Nantes (Loire-Atlantique)"," 1819","Peinture","2","Huile sur toile","24,3 x 20,5 cm","24,3 x 20,5 ","24,3 "," 20,5 ","","1896","Legs","4","Legs de M. Corseul en 1896","701","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005271"
"Centurion de la Résurrection","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","20 x 15,5 cm","20 x 15,5 ","20 "," 15,5 ","","0","Inconnu","0","Acquisition","4162","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065083"
"Etude pour la résurrection en place à l'église dans une ogive","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume, mine de plomb et aquarelle sur papier","25,6 x 15,8 cm","25,6 x 15,8 ","25,6 "," 15,8 ","","0","Inconnu","0","Acquisition","4172","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007050"
"Printemps","James TISSOT","James","TISSOT","vers 1875","Nantes (Loire-Atlantique), 1836 - Buillon (Doubs), 1902","Nantes (Loire-Atlantique)"," 1836 "," Buillon (Doubs)"," 1902","Estampe","4","Eau-forte sur papier","38 x 14 cm","38 x 14 ","38 "," 14 ","","1904","Legs","4","Legs de M. Tissot en 1904","3840","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005962"
"Etude","Charles TOCHÉ","Charles","TOCHÉ","juin 1900","Nantes (Loire-Atlantique), 1851 - Paris (France), 1916","Nantes (Loire-Atlantique)"," 1851 "," Paris (France)"," 1916","Dessin","3","Fusain, aquarelle et gouache sur papier contrecollé sur carton","64,9 x 50 cm","64,9 x 50 ","64,9 "," 50 ","","1902","Achat","3","Achat à l'artiste en 1902","1641","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003457"
"Les pêcheurs et le mousse","Jean-Emile LABOUREUR","Jean-Emile","LABOUREUR","1924","Nantes (Loire-Atlantique), 1877 - Pénestin (Morbihan), 1943","Nantes (Loire-Atlantique)"," 1877 "," Pénestin (Morbihan)"," 1943","Estampe","4","Lithographie en couleurs","18,2 x 20,8 cm","18,2 x 20,8 ","18,2 "," 20,8 ","","1966","Don","1","Don de Mme Laboureur en 1966","966.12.36.E","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003836"
"Porte de bar, new York","Jean-Emile LABOUREUR","Jean-Emile","LABOUREUR","1908 - 1928","Nantes (Loire-Atlantique), 1877 - Pénestin (Morbihan), 1943","Nantes (Loire-Atlantique)"," 1877 "," Pénestin (Morbihan)"," 1943","Dessin","3","Dessin préparatoireMine de plomb sur papier","19 x 27 cm","19 x 27 ","19 "," 27 ","","0","Achat","3","Achat à l' Hôtel Drouot","12.8.1.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000091793"
"La marchande de violettes","Jean-Emile LABOUREUR","Jean-Emile","LABOUREUR","1911","Nantes (Loire-Atlantique), 1877 - Pénestin (Morbihan), 1943","Nantes (Loire-Atlantique)"," 1877 "," Pénestin (Morbihan)"," 1943","Estampe","4","Lithographie","33 x 21,5 cm","33 x 21,5 ","33 "," 21,5 ","","1966","Don","1","Don de Mme Laboureur en 1966","966.12.34.E","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003834"
"Daphnis et Chloë face à face. Chloë de dos","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","26,8 x 20,8 cm","26,8 x 20,8 ","26,8 "," 20,8 ","","0","Inconnu","0","Acquisition","4826","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067294"
"Nancy, rue saint Epvre","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1924","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier vergé","33,3 x 22 cm24,2 x 14,2 cm (hors marge)","33,3 x 22 ","33,3 "," 22 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3711(3)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082569"
"La construction du temple de Salomon","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume sur papier","23,6 x 29,8 cm","23,6 x 29,8 ","23,6 "," 29,8 ","","0","Inconnu","0","Acquisition","3927","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064756"
"Tête de jeune homme, visage profil perdu, chapeau sur la tête","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume et mine de plomb sur papier","34,3 x 23,6 cm","34,3 x 23,6 ","34,3 "," 23,6 ","","0","Inconnu","0","Acquisition","5814","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007553"
"Tête de femme (étude pour Le Déluge)","Léon-François COMERRE","Léon-François","COMERRE","s.d.","Trélon (Nord), 1850 - Paris (France), 1916","Trélon (Nord)"," 1850 "," Paris (France)"," 1916","Peinture","2","Huile sur panneau de bois","25 x 25 cm","25 x 25 ","25 "," 25 ","","1975","Achat","3","Achat en 1975","975.12.2.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001535"
"Un étang à Sacy-Le-Grand","Léon de BELLÉE ","Léon de","BELLÉE","avant 1870","Ploërmel (Morbihan), 1846 - Paris (France), 1891","Ploërmel (Morbihan)"," 1846 "," Paris (France)"," 1891","Peinture","2","Au premier plan, un étang avec des joncs et des nymphéas ; fond de collines enveloppées de brumesHuile","31,1 x 45,9 cm","31,1 x 45,9 ","31,1 "," 45,9 ","","1905","Dépôt","2","Acquisition en 1905Fonds national d'art contemporainDépôt au Musée des Beaux-Arts de Nantes en 1905","805 [n° inv. déposant ou prêteur]","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004044"
"Homme nu, de dos, tombé sur les genoux, tête très en avant","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","11,8 x 8 cm","11,8 x 8 ","11,8 "," 8 ","","0","Inconnu","0","Acquisition","5382","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007240"
"Homme étendu sur le dos, jambe droite relevée, bras droit cachant le visage","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","9 x 13 cm","9 x 13 ","9 "," 13 ","","0","Inconnu","0","Acquisition","5392","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068835"
"Nantes, le Pont de la Poissonnerie","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1928","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte sur papier","19,1 x 26,4 cm15,1 x 18,5 cm (hors marge)","19,1 x 26,4 ","19,1 "," 26,4 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3660(1)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082003"
"Nantes, le Pont de la Poissonnerie","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1928","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte sur papier","28,4 x 28,7 cm15 x 18,2 cm (hors marge)","28,4 x 28,7 ","28,4 "," 28,7 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3660(2)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082486"
"L'île Saint-Louis, Paris","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1929","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, Matrice cuivreEau-forte","21,5 x 18,3 x 0,15 cm","21,5 x 18,3 x 0,15 ","21,5 "," 18,3 "," 0,15 ","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3580","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142933"
"Paris, rue de la Montagne Sainte-Geneviève","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1927","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier","35,8 x 28,1 cm24,9 x 12,9 cm (hors marge)","35,8 x 28,1 ","35,8 "," 28,1 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3775","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082177"
"Les ruines de Domgerin","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1919","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier","32,7 x 24,7 cm27,2 x 9,7 cm (hors marge)","32,7 x 24,7 ","32,7 "," 24,7 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3706","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082146"
"Nancy, échauguette rue Saint Michel","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1924","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte sur papier","27,6 x 22,5 cm21,5 x 12,2 cm (hors marge)","27,6 x 22,5 ","27,6 "," 22,5 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3701(2)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082561"
"Le Cellier du père Jacquemin","Charles-Armand THOMAS","Charles-Armand","THOMAS","avant 1882","Paris (France), 1857 - Paris (France), 1892","Paris (France)"," 1857 "," Paris (France)"," 1892","Peinture","2","Des pivoines, un chapeau de paille posé sur un tablier bleu, un seau en bois et d'autres accessoires.Huile sur toile","120.5 x 180 x 2.5 cm","120.5 x 180 x 2.5 ","120.5 "," 180 "," 2.5 ","1886","Achat","3","Achat en 1886","1193","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004301"
"Bords du Tibre","Félix THOMAS","Félix","THOMAS","s.d.","Nantes (Loire-Atlantique), 1815 - Nantes (Loire-Atlantique), 1875","Nantes (Loire-Atlantique)"," 1815 "," Nantes (Loire-Atlantique)"," 1875","Peinture","2","Huile sur toile","100 x 160 cm","100 x 160 ","100 "," 160 ","","1864","Dépôt","2","Achat en salon à l'artiste en 1864EtatDépôt au Musée des Beaux-Arts de Nantes en 1864","1194 [n° inv. déposant ou prêteur]","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004302"
"Mon rêve","Rodolphe BRESDIN","Rodolphe","BRESDIN","s.d.","Montrelais (Loire-Atlantique), 1822 - Sèvres (Hauts-de-Seine), 1885","Montrelais (Loire-Atlantique)"," 1822 "," Sèvres (Hauts-de-Seine)"," 1885","Estampe","4","Lithographie sur papier contrecollé sur papier","36,1 x 27,7 cm18,4 x 11,9 cm (hors marge)","36,1 x 27,7 ","36,1 "," 27,7 ","","1952","Achat","3","Achat à la Maison A. Ducrot en 1952","6362","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005695"
